year,month,Personen_insgesamt,Leichtverletzte,Schwerverletzte,Getoetete
2025,1,206,179,26,1
2025,2,195,161,33,0
2025,3,240,215,25,0
2025,4,226,196,29,1
2025,5,326,284,40,2
2025,6,309,274,35,1
2025,7,270,244,26,0
2025,8,312,272,39,1
2025,9,312,273,38,1
2025,10,272,233,39,1
2025,11,219,195,23,0
2025,12,183,159,22,2
2026,1,209,182,27,1
2026,2,198,162,36,1
2026,3,244,221,23,0
2026,4,229,199,29,1
2026,5,341,296,42,3
2026,6,310,275,34,1
2026,7,267,244,24,0
2026,8,318,277,40,1
2026,9,312,274,37,1
2026,10,274,233,41,1
2026,11,213,191,23,0
2026,12,177,154,21,2
