Monat,Personen_insgesamt,Leichtverletzte,Schwerverletzte,Getoetete,year,month_name,month
Januar,197,178,19,0,2019,Januar,1
Februar,179,166,13,0,2019,Februar,2
MÃ¤rz,244,212,32,0,2019,MÃ¤rz,3
April,249,220,29,0,2019,April,4
Mai,274,246,27,1,2019,Mai,5
Juni,326,286,39,1,2019,Juni,6
Juli,311,272,36,3,2019,Juli,7
August,276,238,38,0,2019,August,8
September,286,242,44,0,2019,September,9
Oktober,270,247,22,1,2019,Oktober,10
November,291,260,28,3,2019,November,11
Dezember,240,216,24,0,2019,Dezember,12
Januar,211,185,26,0,2020,Januar,1
Februar,206,179,27,0,2020,Februar,2
MÃ¤rz,190,171,19,0,2020,MÃ¤rz,3
April,181,153,27,1,2020,April,4
Mai,231,206,25,0,2020,Mai,5
Juni,253,221,32,0,2020,Juni,6
Juli,276,247,27,2,2020,Juli,7
August,286,256,30,0,2020,August,8
September,343,304,38,1,2020,September,9
Oktober,243,215,24,4,2020,Oktober,10
November,213,189,23,1,2020,November,11
Dezember,185,162,20,3,2020,Dezember,12
Januar,127,115,12,0,2021,Januar,1
Februar,146,127,19,0,2021,Februar,2
MÃ¤rz,159,129,30,0,2021,MÃ¤rz,3
April,192,162,28,2,2021,April,4
Mai,199,167,28,4,2021,Mai,5
Juni,325,293,30,2,2021,Juni,6
Juli,256,225,30,1,2021,Juli,7
August,301,262,35,4,2021,August,8
September,324,280,42,2,2021,September,9
Oktober,270,231,36,3,2021,Oktober,10
November,203,174,29,0,2021,November,11
Dezember,207,179,28,0,2021,Dezember,12
Januar,209,180,29,0,2022,Januar,1
Februar,155,132,23,0,2022,Februar,2
MÃ¤rz,276,231,44,1,2022,MÃ¤rz,3
April,231,190,41,0,2022,April,4
Mai,331,285,45,1,2022,Mai,5
Juni,312,266,44,2,2022,Juni,6
Juli,268,225,41,2,2022,Juli,7
August,267,230,37,0,2022,August,8
September,304,255,48,1,2022,September,9
Oktober,276,231,43,2,2022,Oktober,10
November,260,236,24,0,2022,November,11
Dezember,200,171,27,2,2022,Dezember,12
Januar,244,211,32,1,2023,Januar,1
Februar,228,196,31,1,2023,Februar,2
MÃ¤rz,259,229,30,0,2023,MÃ¤rz,3
April,218,187,31,0,2023,April,4
Mai,326,285,39,2,2023,Mai,5
Juni,345,299,45,1,2023,Juni,6
Juli,261,235,25,1,2023,Juli,7
August,293,259,34,0,2023,August,8
September,303,267,36,0,2023,September,9
Oktober,274,239,34,1,2023,Oktober,10
November,228,201,27,0,2023,November,11
Dezember,179,160,16,3,2023,Dezember,12
Januar,183,164,18,1,2024,Januar,1
Februar,187,158,29,0,2024,Februar,2
MÃ¤rz,212,197,15,0,2024,MÃ¤rz,3
April,236,212,23,1,2024,April,4
Mai,292,260,30,2,2024,Mai,5
Juni,279,253,26,0,2024,Juni,6
Juli,300,275,25,0,2024,Juli,7
August,321,278,42,1,2024,August,8
September,314,275,38,1,2024,September,9
Oktober,263,233,29,1,2024,Oktober,10
November,232,208,22,2,2024,November,11
Dezember,205,181,24,0,2024,Dezember,12
