ortst,median_brw
Altstadt,5600.0
Angermund,995.0
Benrath,1475.0
Bilk,1350.0
Carlstadt,6250.0
Derendorf,730.0
Düsseltal,2200.0
Einbrungen,1300.0
Eller,830.0
Flehe,1020.0
Flingern,1500.0
Friedrichstadt,2950.0
Garath,815.0
Gerresheim,940.0
Golzheim,2175.0
Grafenberg,1600.0
Hafen,5800.0
Hamm,1150.0
Hassels,865.0
Heerdt,910.0
Hellerhof,650.0
Himmelgeist,1100.0
Holthausen,880.0
Hubbelrath,940.0
Itter,1050.0
Kaiserswerth,1300.0
Kalkum,1100.0
Karlstadt,8000.0
Lierenfeld,820.0
Lohausen,820.0
Ludenberg,1325.0
Lörick,1300.0
Mörsenbroich,995.0
NIederkassel,2650.0
Niederkassel,2800.0
Oberbilk,2700.0
Oberkassel,3350.0
Pempelfort,3300.0
Rath,920.0
Reisholz,950.0
Stadtmitte,5500.0
Stockum,1350.0
Unterbach,1100.0
Unterbilk,4200.0
Unterrath,920.0
Urdenbach,1125.0
Vennhausen,940.0
Wersten,940.0
Wittlaer,1700.0
