stadtteil_name,ausl_total,Türkei,Ukraine,Griechen- land,Polen,Italien,Syrien,Japan,Indien,China,Russ.  Föde- ration,Spanien,Rumänien,Iran,sonstige
Altstadt,1094,30,72,33.0,13,70,19.0,49.0,20.0,32.0,29.0,91.0,23.0,43.0,570
Carlstadt,462,21,21,11.0,11,42,5.0,24.0,17.0,8.0,17.0,21.0,13.0,7.0,244
Stadtmitte,7747,294,576,398.0,216,254,224.0,713.0,519.0,413.0,145.0,200.0,253.0,205.0,3337
Pempelfort,8876,412,653,361.0,304,574,144.0,526.0,524.0,336.0,297.0,347.0,178.0,220.0,4000
Derendorf,5937,644,352,308.0,220,320,194.0,196.0,362.0,178.0,211.0,185.0,144.0,201.0,2422
Golzheim,2733,166,146,96.0,82,116,40.0,223.0,133.0,123.0,132.0,91.0,40.0,167.0,1178
Flingern Süd,3918,448,163,310.0,222,135,167.0,72.0,118.0,70.0,98.0,134.0,115.0,95.0,1771
Flingern Nord,6691,424,448,438.0,277,351,157.0,167.0,286.0,380.0,194.0,205.0,171.0,154.0,3039
Düsseltal,7177,421,577,355.0,313,341,178.0,255.0,397.0,230.0,277.0,238.0,160.0,264.0,3171
Friedrichstadt,7673,360,489,495.0,289,293,314.0,246.0,565.0,285.0,168.0,271.0,284.0,134.0,3480
Unterbilk,4554,317,213,230.0,127,278,98.0,139.0,278.0,139.0,151.0,156.0,83.0,101.0,2244
Hafen,147,17,10,8.0,8,4,,,,3.0,9.0,,,8.0,72
Hamm,531,40,43,42.0,58,34,,5.0,12.0,,11.0,18.0,78.0,10.0,175
Volmerswerth,374,16,33,10.0,135,14,,,6.0,3.0,9.0,9.0,,3.0,126
Bilk,10116,630,861,551.0,413,534,238.0,172.0,357.0,322.0,278.0,360.0,206.0,316.0,4878
Oberbilk,12357,947,578,804.0,636,444,623.0,145.0,552.0,226.0,233.0,468.0,382.0,253.0,6066
Flehe,419,21,32,27.0,72,23,18.0,9.0,24.0,,11.0,,10.0,11.0,151
Oberkassel,3560,136,135,157.0,78,151,,879.0,71.0,314.0,118.0,104.0,,84.0,1284
Heerdt,4527,265,231,253.0,255,129,55.0,633.0,109.0,555.0,122.0,79.0,181.0,119.0,1541
Lörick,2659,209,119,66.0,171,52,65.0,371.0,106.0,459.0,59.0,39.0,45.0,123.0,775
Niederkassel,1598,22,45,35.0,31,27,,740.0,22.0,167.0,26.0,33.0,,45.0,388
Stockum,1049,59,86,36.0,34,29,41.0,64.0,36.0,54.0,38.0,37.0,9.0,61.0,465
Lohausen,1029,47,109,38.0,48,56,35.0,21.0,10.0,64.0,13.0,23.0,17.0,33.0,515
Kaiserswerth,1493,89,36,28.0,31,41,,108.0,54.0,103.0,,51.0,16.0,57.0,814
Wittlaer,1542,77,70,44.0,67,35,23.0,60.0,37.0,134.0,72.0,48.0,30.0,32.0,813
Angermund,878,48,62,11.0,40,34,84.0,,20.0,50.0,29.0,,15.0,30.0,424
Kalkum,245,10,15,7.0,11,21,,,10.0,21.0,,,6.0,6.0,134
Lichtenbroich,1829,283,94,45.0,64,49,191.0,4.0,72.0,39.0,24.0,55.0,25.0,40.0,844
Unterrath,4488,471,302,285.0,245,206,148.0,45.0,146.0,158.0,146.0,132.0,196.0,125.0,1883
Rath,7295,796,523,625.0,313,351,280.0,62.0,209.0,128.0,195.0,154.0,184.0,195.0,3280
Mörsenbroich,4282,410,335,200.0,199,194,134.0,58.0,226.0,121.0,151.0,99.0,126.0,144.0,1885
Gerresheim,4932,303,373,195.0,291,639,258.0,71.0,101.0,99.0,144.0,103.0,146.0,134.0,2075
Grafenberg,1241,62,93,78.0,51,67,21.0,68.0,66.0,51.0,58.0,37.0,34.0,44.0,511
Ludenberg,1099,56,92,23.0,54,42,30.0,,30.0,47.0,44.0,,21.0,59.0,570
Hubbelrath,174,10,17,,15,5,,,8.0,,6.0,,15.0,8.0,84
Knittkuhl,208,18,4,12.0,22,14,,4.0,5.0,,7.0,,4.0,8.0,91
Lierenfeld,3832,646,179,260.0,132,174,229.0,19.0,61.0,26.0,66.0,93.0,121.0,71.0,1755
Eller,8010,1170,635,584.0,425,436,437.0,44.0,128.0,71.0,225.0,133.0,289.0,160.0,3273
Vennhausen,1668,103,187,68.0,126,82,69.0,16.0,22.0,55.0,65.0,19.0,64.0,73.0,719
Unterbach,1076,86,112,42.0,72,75,47.0,14.0,23.0,26.0,49.0,24.0,11.0,59.0,436
Wersten,5824,492,478,527.0,312,234,242.0,56.0,129.0,119.0,181.0,172.0,167.0,131.0,2584
Himmelgeist,132,4,5,6.0,10,9,,,3.0,,3.0,7.0,5.0,,67
Holthausen,3953,385,309,458.0,207,158,130.0,23.0,142.0,45.0,81.0,85.0,169.0,93.0,1668
Reisholz,1336,165,68,73.0,60,36,108.0,3.0,43.0,23.0,25.0,44.0,176.0,21.0,491
Benrath,3077,286,243,164.0,167,141,125.0,46.0,80.0,72.0,95.0,86.0,65.0,70.0,1437
Urdenbach,1089,99,113,51.0,96,58,46.0,,,24.0,54.0,21.0,26.0,41.0,443
Itter,201,15,15,6.0,15,8,13.0,,,,8.0,5.0,4.0,,103
Hassels,6754,516,521,314.0,367,181,536.0,11.0,50.0,31.0,192.0,247.0,337.0,117.0,3334
Garath,5162,236,764,141.0,306,95,583.0,7.0,35.0,35.0,339.0,120.0,91.0,102.0,2308
Hellerhof,565,36,41,19.0,61,14,23.0,6.0,7.0,18.0,22.0,8.0,9.0,10.0,291
