Geburtsjahr;maennlich;weiblich
1900;.;.
1901;-;-
1902;-;-
1903;-;-
1904;-;-
1905;-;-
1906;-;-
1907;-;-
1908;-;-
1909;-;-
1910;-;-
1911;.;.
1912;.;.
1913;.;.
1914;.;.
1915;.;.
1916;.;.
1917;4;16
1918;.;.
1919;8;68
1920;23;118
1921;40;171
1922;58;234
1923;59;265
1924;106;399
1925;148;519
1926;247;654
1927;309;757
1928;431;960
1929;524;1097
1930;635;1213
1931;738;1283
1932;793;1342
1933;909;1439
1934;1309;2105
1935;1561;2283
1936;1673;2459
1937;1961;2756
1938;2149;2988
1939;2439;3217
1940;2587;3388
1941;2576;3250
1942;2202;2840
1943;2236;2881
1944;2253;3079
1945;1919;2425
1946;2277;2733
1947;2431;2929
1948;2560;2989
1949;2770;3293
1950;2812;3288
1951;2745;3253
1952;2876;3278
1953;2840;3328
1954;3071;3439
1955;3212;3536
1956;3426;3599
1957;3611;3767
1958;3664;3875
1959;3928;4145
1960;4301;4216
1961;4412;4329
1962;4599;4552
1963;4873;4619
1964;5102;4895
1965;5152;4857
1966;5359;4890
1967;5329;4902
1968;5273;5025
1969;4997;4828
1970;4863;4573
1971;4731;4496
1972;4494;4124
1973;4315;4160
1974;4152;4219
1975;4362;4151
1976;4431;4358
1977;4467;4482
1978;4440;4482
1979;4718;4655
1980;4961;4943
1981;5007;4964
1982;5219;5152
1983;5016;5169
1984;5042;5255
1985;5290;5343
1986;5529;5569
1987;5579;5699
1988;5794;6107
1989;5442;5844
1990;5229;5838
1991;4890;5466
1992;4792;5128
1993;4075;4642
1994;3727;4145
1995;3489;3665
1996;3393;3667
1997;3222;3486
1998;3000;3014
1999;2816;2711
2000;2694;2510
2001;2580;2327
2002;2573;2427
2003;2521;2330
2004;2621;2403
2005;2570;2517
2006;2721;2455
2007;2747;2631
2008;2922;2689
2009;2789;2638
2010;2948;2762
2011;2745;2653
2012;3006;2616
2013;2920;2877
2014;3071;3024
2015;3177;2934
2016;3326;3197
2017;3413;3116
2018;3379;3142
