Indikator;2019;2035;Veraenderung absolut;Veraenderung in %
Duesseldorf;645923;702500;56577;8,8
011 Altstadt;2453;2320;-133;-5,4
012 Carlstadt;2281;2370;89;3,9
013 Stadtmitte;14958;15390;432;2,9
014 Pempelfort;33282;33640;358;1,1
015 Derendorf;20760;23120;2360;11,4
016 Golzheim;12861;13650;789;6,1
021 Flingern Sued;10413;10570;157;1,5
022 Flingern Nord;25464;26990;1526;6
023 Duesseltal;28077;30980;2903;10,3
031 Friedrichstadt;19712;19200;-512;-2,6
032 Unterbilk / 033 Hafen;19484;20670;1186;6,1
034 Hamm;4496;5870;1374;30,6
035 Volmerswerth;2355;2440;85;3,6
036 Bilk;41128;42730;1602;3,9
037 Oberbilk;30961;33800;2839;9,2
038 Flehe;2730;2810;80;2,9
041 Oberkassel;19017;21140;2123;11,2
042 Heerdt;12352;16170;3818;30,9
043 Loerick;7614;10320;2706;35,5
044 Niederkassel;6105;6590;485;7,9
051 Stockum;5596;6260;664;11,9
052 Lohausen;4121;4260;139;3,4
053 Kaiserswerth;8017;10100;2083;26
054 Wittlaer;8261;8760;499;6
055 Angermund;6745;8190;1445;21,4
056 Kalkum;1955;2010;55;2,8
061 Lichtenbroich;6218;6830;612;9,8
062 Unterrath;21995;22150;155;0,7
063 Rath;20412;22680;2268;11,1
064 Moersenbroich;18123;19390;1267;7
071 Gerresheim;29874;34700;4826;16,2
072 Grafenberg;5844;6040;196;3,4
073 Ludenberg;8081;8940;859;10,6
074 Hubbelrath;1605;4680;3075;191,6
075 Knittkuhl;2062;2160;98;4,8
081 Lierenfeld;11249;11810;561;5
082 Eller;31547;32900;1353;4,3
083 Vennhausen;10722;11040;318;3
084 Unterbach;7829;9180;1351;17,3
091 Wersten;27325;28690;1365;5
092 Himmelgeist;2063;3260;1197;58
093 Holthausen;12890;13570;680;5,3
094 Reisholz;3773;4090;317;8,4
095 Benrath;16583;21490;4907;29,6
096 Urdenbach;10656;10890;234;2,2
097 Itter;2400;2510;110;4,6
098 Hassels;18586;18880;294;1,6
101 Garath;19046;20350;1304;6,8
102 Hellerhof;5842;5920;78;1,3
